image_name,annotation_index,class_name,class_id,x_min,y_min,x_max,y_max,box_width,box_height,image_width,image_height
RT_AL_02_14483871,0,porosity,3,33,207,3431,442,3398,235,3451,943
RT_AL_02_14487769,0,porosity,3,477,328,520,385,43,57,1280,720
RT_AL_02_14487779,0,porosity,3,151,163,217,230,66,67,1280,720
RT_AL_02_14487779,1,porosity,3,611,273,644,304,33,31,1280,720
RT_AL_02_14487779,2,porosity,3,594,284,678,389,84,105,1280,720
RT_AL_02_14487821,0,porosity,3,617,257,661,385,44,128,1280,720
RT_AL_02_14487829,0,porosity,3,988,199,1161,358,173,159,1280,720
RT_AL_02_14487829,1,porosity,3,591,255,773,405,182,150,1280,720
RT_AL_02_14487829,2,porosity,3,102,292,277,430,175,138,1280,720
RT_AL_02_14487873,0,porosity,3,577,304,786,422,209,118,1280,720
RT_AL_02_14487891,0,porosity,3,625,355,664,374,39,19,1280,720
RT_AL_02_14487891,1,porosity,3,930,34,961,50,31,16,1280,720
RT_AL_02_14487891,2,porosity,3,877,158,906,182,29,24,1280,720
RT_AL_02_14487891,3,porosity,3,748,617,798,641,50,24,1280,720
RT_AL_02_14487927,0,porosity,3,593,309,657,357,64,48,1280,720
RT_AL_02_14487941,0,porosity,3,753,172,795,210,42,38,1280,720
RT_AL_02_14487941,1,porosity,3,611,271,717,398,106,127,1280,720
RT_AL_02_14488001,0,porosity,3,570,322,696,386,126,64,1280,720
RT_AL_02_14488023,0,porosity,3,588,333,663,372,75,39,1280,720
RT_AL_02_14488023,1,porosity,3,1086,206,1176,229,90,23,1280,720
RT_AL_02_14488032,0,porosity,3,326,256,356,305,30,49,1280,720
RT_AL_02_14488032,1,porosity,3,706,443,738,468,32,25,1280,720
RT_AL_02_14488032,2,porosity,3,839,227,863,246,24,19,1280,720
RT_AL_02_14488033,0,porosity,3,1028,276,1071,308,43,32,1280,720
RT_AL_02_14488033,1,porosity,3,82,320,154,411,72,91,1280,720
RT_AL_02_14488033,2,porosity,3,845,388,894,445,49,57,1280,720
RT_AL_02_14488062,0,porosity,3,672,251,744,287,72,36,1280,720
RT_AL_02_14488062,1,porosity,3,707,457,727,481,20,24,1280,720
RT_AL_02_14488062,2,porosity,3,729,580,775,604,46,24,1280,720
RT_AL_02_14488062,3,porosity,3,176,638,213,664,37,26,1280,720
RT_AL_02_14488080,0,porosity,3,567,299,685,406,118,107,1280,720
RT_AL_02_14488091,0,porosity,3,629,348,654,371,25,23,1280,720
RT_AL_02_14488136,0,porosity,3,589,317,699,403,110,86,1280,720
RT_AL_02_14488155,0,porosity,3,863,196,893,227,30,31,1280,720
RT_AL_02_14488155,1,porosity,3,587,293,730,386,143,93,1280,720
RT_AL_02_14488176,0,porosity,3,581,310,661,394,80,84,1280,720
RT_AL_02_14488184,0,porosity,3,856,341,875,362,19,21,1280,720
RT_AL_02_14488184,1,porosity,3,576,311,680,407,104,96,1280,720
RT_AL_02_14488212,0,porosity,3,632,314,705,389,73,75,1280,720
RT_AL_02_14488222,0,porosity,3,609,329,666,379,57,50,1280,720
RT_AL_02_14488222,1,porosity,3,957,397,1008,437,51,40,1280,720
RT_AL_02_14488285,0,porosity,3,590,317,672,394,82,77,1280,720
RT_AL_02_14488306,0,porosity,3,565,276,707,430,142,154,1280,720
RT_AL_02_14488343,0,porosity,3,611,356,645,372,34,16,1280,720
RT_AL_02_14488379,0,porosity,3,956,347,1026,397,70,50,1280,720
RT_AL_02_14488379,1,porosity,3,623,338,676,373,53,35,1280,720
RT_AL_02_14488379,2,porosity,3,275,348,314,378,39,30,1280,720
RT_AL_02_14488461,0,porosity,3,559,316,700,398,141,82,1280,720
RT_AL_02_14488480,0,porosity,3,602,324,677,384,75,60,1280,720
RT_AL_02_14488486,0,porosity,3,890,200,924,225,34,25,1280,720
RT_AL_02_14488486,1,porosity,3,629,345,658,383,29,38,1280,720
RT_AL_02_14488509,0,porosity,3,532,312,717,414,185,102,1280,720
RT_AL_02_14488533,0,porosity,3,589,337,679,406,90,69,1280,720
RT_AL_02_14488606,0,porosity,3,354,584,376,598,22,14,1280,720
RT_AL_02_14488606,1,porosity,3,646,135,679,173,33,38,1280,720
RT_AL_02_14488621,0,porosity,3,167,315,207,360,40,45,1280,720
RT_AL_02_14488621,1,porosity,3,561,310,706,393,145,83,1280,720
RT_AL_02_14488626,0,porosity,3,1232,230,1257,257,25,27,1280,720
RT_AL_02_14488626,1,porosity,3,1223,258,1239,297,16,39,1280,720
RT_AL_02_14488626,2,porosity,3,1193,275,1217,302,24,27,1280,720
RT_AL_02_14488626,3,porosity,3,1175,292,1198,318,23,26,1280,720
RT_AL_02_14488626,4,porosity,3,1204,339,1228,353,24,14,1280,720
RT_AL_02_14488626,5,porosity,3,1133,277,1155,316,22,39,1280,720
RT_AL_02_14488626,6,porosity,3,1159,257,1187,281,28,24,1280,720
RT_AL_02_14488626,7,porosity,3,1042,414,1069,443,27,29,1280,720
RT_AL_02_14488626,8,porosity,3,840,266,919,364,79,98,1280,720
RT_AL_02_14488626,9,porosity,3,592,323,690,391,98,68,1280,720
RT_AL_02_14488626,10,porosity,3,34,370,106,431,72,61,1280,720
RT_AL_02_14488661,0,porosity,3,862,396,1027,502,165,106,1280,720
RT_AL_02_14488661,1,porosity,3,569,320,717,458,148,138,1280,720
RT_AL_02_14488663,0,porosity,3,542,312,681,422,139,110,1280,720
RT_AL_02_14488682,0,porosity,3,1093,285,1231,395,138,110,1280,720
RT_AL_02_14488682,1,porosity,3,395,402,509,506,114,104,1280,720
RT_AL_02_14488682,2,slag_inclusion,4,558,316,741,397,183,81,1280,720
RT_AL_02_14488683,0,porosity,3,153,314,170,337,17,23,1280,720
