image_id,image_name,image_path,json_path,image_exists,json_exists,parse_success,inspection_type,material,width,height,status,classes,num_annotations,valid
14483434,RT_AL_00_14483434,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483434.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483434.json,True,True,True,RT,AL,3457,943,normal,,1,True
14483440,RT_AL_00_14483440,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483440.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483440.json,True,True,True,RT,AL,4000,1204,normal,,1,True
14483443,RT_AL_00_14483443,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483443.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483443.json,True,True,True,RT,AL,3300,942,normal,,1,True
14483464,RT_AL_00_14483464,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483464.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483464.json,True,True,True,RT,AL,3433,943,normal,,1,True
14483470,RT_AL_00_14483470,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483470.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483470.json,True,True,True,RT,AL,3397,943,normal,,1,True
14483485,RT_AL_00_14483485,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483485.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483485.json,True,True,True,RT,AL,3409,943,normal,,1,True
14483487,RT_AL_00_14483487,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483487.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483487.json,True,True,True,RT,AL,4000,1272,normal,,1,True
14483491,RT_AL_00_14483491,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483491.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483491.json,True,True,True,RT,AL,3386,941,normal,,1,True
14483499,RT_AL_00_14483499,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483499.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483499.json,True,True,True,RT,AL,3426,951,normal,,1,True
14483507,RT_AL_00_14483507,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483507.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483507.json,True,True,True,RT,AL,3378,942,normal,,1,True
14483526,RT_AL_00_14483526,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483526.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483526.json,True,True,True,RT,AL,3433,943,normal,,1,True
14483531,RT_AL_00_14483531,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483531.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483531.json,True,True,True,RT,AL,4000,1204,normal,,1,True
14483537,RT_AL_00_14483537,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483537.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483537.json,True,True,True,RT,AL,4000,1272,normal,,1,True
14483552,RT_AL_00_14483552,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483552.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483552.json,True,True,True,RT,AL,4000,911,normal,,1,True
