image_name,status,classes,object_count,group,selected,exclusion_reason,duplicate,quality_status,split_group
RT_AL_00_14483434,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483440,normal,,1,normal,True,,False,pass,val
RT_AL_00_14483443,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483464,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483470,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483485,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483487,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483491,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483499,normal,,1,normal,True,,False,pass,test
RT_AL_00_14483507,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483526,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483531,normal,,1,normal,True,,False,pass,test
RT_AL_00_14483537,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483552,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483555,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483561,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483593,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483595,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483604,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483605,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483615,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483617,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483618,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483628,normal,,1,normal,True,,False,pass,test
RT_AL_00_14483630,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483635,normal,,1,normal,True,,False,pass,test
RT_AL_00_14483642,normal,,1,normal,True,,False,pass,test
RT_AL_00_14483649,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483650,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483665,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483672,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483673,normal,,1,normal,True,,False,pass,test
RT_AL_00_14483685,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483690,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483712,normal,,2,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483727,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483742,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483764,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483775,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483790,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483798,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483810,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483843,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483870,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483879,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483896,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483902,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483906,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483931,normal,,1,normal,False,quota_not_selected,False,pass,
