image_name,annotation_index,class_name,class_id,x_min,y_min,x_max,y_max,box_width,box_height,image_width,image_height
RT_AL_02_14483871,0,porosity,3,33,207,3431,442,3398,235,3451,943
RT_AL_02_14487762,0,porosity,3,554,317,742,372,188,55,1280,720
RT_AL_02_14487769,0,porosity,3,477,328,520,385,43,57,1280,720
RT_AL_02_14487771,0,porosity,3,649,188,854,350,205,162,1280,720
RT_AL_02_14487771,1,porosity,3,297,287,363,444,66,157,1280,720
RT_AL_02_14487771,2,porosity,3,589,304,691,387,102,83,1280,720
RT_AL_02_14487771,3,porosity,3,1136,335,1209,402,73,67,1280,720
RT_AL_02_14487771,4,porosity,3,820,584,906,653,86,69,1280,720
RT_AL_02_14487779,0,porosity,3,151,163,217,230,66,67,1280,720
RT_AL_02_14487779,1,porosity,3,611,273,644,304,33,31,1280,720
RT_AL_02_14487779,2,porosity,3,594,284,678,389,84,105,1280,720
RT_AL_02_14487790,0,porosity,3,384,318,493,392,109,74,1280,720
RT_AL_02_14487790,1,porosity,3,706,186,751,206,45,20,1280,720
RT_AL_02_14487790,2,porosity,3,236,316,284,343,48,27,1280,720
RT_AL_02_14487794,0,porosity,3,583,310,696,377,113,67,1280,720
RT_AL_02_14487800,0,porosity,3,588,290,771,468,183,178,1280,720
RT_AL_02_14487800,1,porosity,3,991,381,1145,540,154,159,1280,720
RT_AL_02_14487800,2,porosity,3,112,285,235,383,123,98,1280,720
RT_AL_02_14487811,0,porosity,3,612,276,643,326,31,50,1280,720
RT_AL_02_14487811,1,porosity,3,626,333,656,382,30,49,1280,720
RT_AL_02_14487812,0,porosity,3,563,288,700,421,137,133,1280,720
RT_AL_02_14487814,0,porosity,3,604,343,664,377,60,34,1280,720
RT_AL_02_14487815,0,porosity,3,1120,277,1149,309,29,32,1280,720
RT_AL_02_14487815,1,porosity,3,1078,303,1117,348,39,45,1280,720
RT_AL_02_14487815,2,porosity,3,1087,504,1109,528,22,24,1280,720
RT_AL_02_14487815,3,porosity,3,847,249,905,299,58,50,1280,720
RT_AL_02_14487815,4,porosity,3,848,328,887,360,39,32,1280,720
RT_AL_02_14487815,5,porosity,3,627,328,683,375,56,47,1280,720
RT_AL_02_14487815,6,porosity,3,589,374,626,402,37,28,1280,720
RT_AL_02_14487815,7,porosity,3,568,282,623,361,55,79,1280,720
RT_AL_02_14487815,8,porosity,3,344,343,405,410,61,67,1280,720
RT_AL_02_14487815,9,porosity,3,35,313,103,343,68,30,1280,720
RT_AL_02_14487815,10,porosity,3,82,340,149,378,67,38,1280,720
RT_AL_02_14487815,11,porosity,3,28,372,117,407,89,35,1280,720
RT_AL_02_14487821,0,porosity,3,617,257,661,385,44,128,1280,720
RT_AL_02_14487822,0,porosity,3,616,340,674,377,58,37,1280,720
RT_AL_02_14487822,1,porosity,3,569,337,613,356,44,19,1280,720
RT_AL_02_14487829,0,porosity,3,988,199,1161,358,173,159,1280,720
RT_AL_02_14487829,1,porosity,3,591,255,773,405,182,150,1280,720
RT_AL_02_14487829,2,porosity,3,102,292,277,430,175,138,1280,720
RT_AL_02_14487845,0,porosity,3,584,308,679,403,95,95,1280,720
RT_AL_02_14487845,1,porosity,3,1005,335,1051,376,46,41,1280,720
RT_AL_02_14487873,0,porosity,3,577,304,786,422,209,118,1280,720
RT_AL_02_14487891,0,porosity,3,625,355,664,374,39,19,1280,720
RT_AL_02_14487891,1,porosity,3,930,34,961,50,31,16,1280,720
RT_AL_02_14487891,2,porosity,3,877,158,906,182,29,24,1280,720
RT_AL_02_14487891,3,porosity,3,748,617,798,641,50,24,1280,720
RT_AL_02_14487914,0,porosity,3,338,465,382,499,44,34,1280,720
RT_AL_02_14487914,1,porosity,3,586,495,624,522,38,27,1280,720
RT_AL_02_14487926,0,porosity,3,719,339,808,381,89,42,1280,720
RT_AL_02_14487926,1,porosity,3,286,355,383,406,97,51,1280,720
RT_AL_02_14487927,0,porosity,3,593,309,657,357,64,48,1280,720
RT_AL_02_14487941,0,porosity,3,753,172,795,210,42,38,1280,720
RT_AL_02_14487941,1,porosity,3,611,271,717,398,106,127,1280,720
RT_AL_02_14487996,0,porosity,3,586,286,708,402,122,116,1280,720
RT_AL_02_14488001,0,porosity,3,570,322,696,386,126,64,1280,720
RT_AL_02_14488006,0,porosity,3,605,319,680,387,75,68,1280,720
RT_AL_02_14488006,1,porosity,3,840,576,887,613,47,37,1280,720
RT_AL_02_14488006,2,porosity,3,801,569,834,655,33,86,1280,720
RT_AL_02_14488009,0,porosity,3,623,334,674,380,51,46,1280,720
RT_AL_02_14488012,0,porosity,3,977,241,1130,344,153,103,1280,720
RT_AL_02_14488012,1,porosity,3,572,309,693,426,121,117,1280,720
RT_AL_02_14488012,2,porosity,3,90,335,234,460,144,125,1280,720
