image_name,image_path,json_path,error_codes,warning_codes,info_codes,error_count,warning_count,info_count,include
RT_AL_00_14483434,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483434.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483434.json,,,,0,0,0,True
RT_AL_00_14483440,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483440.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483440.json,,,,0,0,0,True
RT_AL_00_14483443,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483443.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483443.json,,,,0,0,0,True
RT_AL_00_14483464,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483464.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483464.json,,,,0,0,0,True
RT_AL_00_14483470,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483470.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483470.json,,,,0,0,0,True
RT_AL_00_14483485,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483485.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483485.json,,,,0,0,0,True
RT_AL_00_14483487,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483487.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483487.json,,,,0,0,0,True
RT_AL_00_14483491,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483491.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483491.json,,negative_coordinate,,0,1,0,True
RT_AL_00_14483499,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483499.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483499.json,,,,0,0,0,True
RT_AL_00_14483507,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483507.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483507.json,,,,0,0,0,True
RT_AL_00_14483526,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483526.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483526.json,,,,0,0,0,True
RT_AL_00_14483531,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483531.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483531.json,,,,0,0,0,True
RT_AL_00_14483537,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483537.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483537.json,,,,0,0,0,True
